Lp,Poziom,Tom,Rozdział,Jednostka,Nazwa paczki,Słowo ENG,Tłumaczenie PL,Zdanie ENG,Zdanie PL
4341,3,Tom IV,Rozdział XXXV,Przymiotniki,Przymiotniki 14,Appropriate,Właściwy; odpowiedni,,
4342,3,Tom IV,Rozdział XXXV,Przymiotniki,Przymiotniki 14,Unexpected,Nieoczekiwany; niespodziewany,,
4343,3,Tom IV,Rozdział XXXV,Przymiotniki,Przymiotniki 14,Simple,Prosty (łatwy),,
4344,3,Tom IV,Rozdział XXXV,Przymiotniki,Przymiotniki 14,Inappropriate,Nieodpowiedni; niewłaściwy,,
4345,3,Tom IV,Rozdział XXXV,Przymiotniki,Przymiotniki 14,Rough,Orientacyjny; przybliżony,,
4346,3,Tom IV,Rozdział XXXV,Przymiotniki,Przymiotniki 14,Pointless,Bezcelowy; bezsensowny,,
4347,3,Tom IV,Rozdział XXXV,Przymiotniki,Przymiotniki 14,Meaningless,Bez znaczenia; bezsensowny,,
4348,3,Tom IV,Rozdział XXXV,Przymiotniki,Przymiotniki 14,Meaningful,Mający znaczenie; sens,,
4349,3,Tom IV,Rozdział XXXV,Przymiotniki,Przymiotniki 14,Worthless,Bezwartościowy,,
4350,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Damage,Uszkodzenie; szkoda,,
4351,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Accident,Wypadek,,
4352,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Aftermath,Pokłosie; następstwo,,
4353,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Breakdown,Awaria,,
4354,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Turbulence,Turbulencja,,
4355,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Collision,Kolizja,,
4356,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Crash,Kraksa; awaria (systemu),,
4357,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Disaster,Klęska,,
4358,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Catastrophe,Katastrofa,,
4359,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Emergency,Nagły wypadek,,
4360,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Survivor,Ocalały,,
4361,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Destruction,Zniszczenie,,
4362,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Incident,Incydent,,
4363,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Fender bender,Stłuczka,,
4364,3,Tom IV,Rozdział XXXV,Rzeczowniki,Wypadek,Casualty,Ofiara wypadku lub wojny; ranny,,
4365,3,Tom IV,Rozdział XXXV,Phrasale,Umysłowe,Know about,Wiedzieć o,,
4366,3,Tom IV,Rozdział XXXV,Phrasale,Umysłowe,Look for sth,Szukać,,
4367,3,Tom IV,Rozdział XXXV,Phrasale,Umysłowe,Calm down,Uspokoić się,,
4368,3,Tom IV,Rozdział XXXV,Phrasale,Umysłowe,Figure out,Rozkminić; zrozumieć,,
4369,3,Tom IV,Rozdział XXXV,Phrasale,Umysłowe,Sort sth out,Ogarnąć coś; załatwić coś,,
4370,3,Tom IV,Rozdział XXXV,Phrasale,Umysłowe,Add sth up,Dodawać coś,,
4371,3,Tom IV,Rozdział XXXV,Phrasale,Umysłowe,Come up with,Wymyślić coś; wpaść na (np. Rozwiązanie problemu),,
4372,3,Tom IV,Rozdział XXXV,Phrasale,Umysłowe,Go for sth,Wybrać coś,,
4373,3,Tom IV,Rozdział XXXV,Phrasale,Umysłowe,Hear of,"Słyszeć o kimś (wiedzieć o istnieniu kogoś, czegoś)",,
4374,3,Tom IV,Rozdział XXXV,Phrasale,Umysłowe,Think about sth,Przemyśleć coś,,
4375,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Debt,Dług,,
4376,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Coin,Moneta,,
4377,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Tip,Napiwek,,
4378,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Tax,Podatek,,
4379,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Loan,Pożyczka,,
4380,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Phone bill,Rachunek za telefon,,
4381,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Fifty-fifty,Po połowie,,
4382,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Earnings,Zarobki,,
4383,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Bonus,Dodatek; premia,,
4384,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Fortune,Fortuna,,
4385,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Wage,Płaca,,
4386,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Raise,Podwyżka (płacy),,
4387,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Payout,Wypłata (za wykonaną pracę),,
4388,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Payday,Dzień wypłaty,,
4389,3,Tom IV,Rozdział XXXV,Rzeczowniki,Finanse,Payoff,Wypłata; bonus,,
4390,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,All along,Przez cały czas,,
4391,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,Sometimes,Czasami,,
4392,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,Daily,Codziennie,,
4393,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,Again,Ponownie; znowu,,
4394,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,Non-stop,Bez przerwy; nieustannie,,
4395,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,Usually,Przeważnie; zazwyczaj,,
4396,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,Frequently,Z dużą częstotliwością,,
4397,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,Over and over again,W kółko I w kółko,,
4398,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,Rarely,Rzadko,,
4399,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,Recurrently,Powtarzalnie,,
4400,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,Weekly,Cotygodniowo; tygodniowo,,
4401,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,For once,Choć raz,,
4402,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,From time to time,Od czasu do czasu,,
4403,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,More and more,Coraz więcej,,
4404,3,Tom IV,Rozdział XXXV,Przysłówki,Jak często,On occasion,Od święta; z okazji,,
4405,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Hot chocolate,Gorąca czekolada,,
4406,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Soft drink,Napój bezalkoholowy,,
4407,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Green tea,Zielona herbata,,
4408,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Energy drink,Napój energetyczny; energetyk,,
4409,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Cocoa,Kakao,,
4410,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Lemonade,Lemoniada,,
4411,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Smoothie,Smoothie (koktajl owocowy),,
4412,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Beverage,Napój,,
4413,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Isotonic drink,Napój izotoniczny,,
4414,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Orange soft drink,Oranżada,,
4415,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Syrup,Syrop,,
4416,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Tea bag,Torebka herbaty,,
4417,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Tap water,Woda z kranu,,
4418,3,Tom IV,Rozdział XXXV,Rzeczowniki,Napoje,Milkshake,Koktajl mleczny,,
4419,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Repair,Naprawa,,
4420,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Renovation,Remont; renowacja,,
4421,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Rope,Lina,,
4422,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Flashlight,Latarka,,
4423,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Hammer,Młotek,,
4424,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Tool,Narzędzie,,
4425,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Tape,Taśma,,
4426,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Ladder,Drabina,,
4427,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Saw,Piła,,
4428,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Screw,Śruba; wkręt,,
4429,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Screwdriver,Śrubokręt,,
4430,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Do-it-yourself,Majsterkowanie,,
4431,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Toolbox,Skrzynka na narzędzia,,
4432,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Workshop,Warsztat,,
4433,3,Tom IV,Rozdział XXXV,Rzeczowniki,Majsterkowanie,Hook,Hak,,
4434,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Disabled,Niepełnosprawny,,
4435,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Asleep,Pogrążony we śnie,,
4436,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Awake,Przebudzony; obudzony,,
4437,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Divorced,Rozwiedziony,,
4438,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Blind,Ślepy,,
4439,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Middle-aged,W średnim wieku,,
4440,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Grown-up,Duży (dorosły),,
4441,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Youthful,Młodzieńczy,,
4442,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Sober,Trzeźwy,,
4443,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Straight,Heteroseksualny,,
4444,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Gay,Homoseksualny,,
4445,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Junior,"Młodszy (w rodzinie, na stanowisku)",,
4446,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Newborn,Nowonarodzony,,
4447,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Step,Przyrodni,,
4448,3,Tom IV,Rozdział XXXVI,Przymiotniki,Człowiek,Holy,Święty,,
4449,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Add,Dodawać,,
4450,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Decrease,Zmniejszać; maleć; spadać (wartość),,
4451,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Divide,Dzielić (coś),,
4452,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Estimate,Szacować,,
4453,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Increase,Zwiększać,,
4454,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Multiply,Mnożyć; namnażać,,
4455,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Subtract,Odejmować,,
4456,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Calculate,Obliczać (kalkulować),,
4457,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Double,Podwajać,,
4458,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Integrate,Całkować,,
4459,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Split,"Dzielić się (np. Na mniejsze części, grupy)",,
4460,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Triple,Potrajać,,
4461,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Differentiate,Różniczkować; rozróżniać,,
4462,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Overestimate,Przeszacować; przeceniać,,
4463,3,Tom IV,Rozdział XXXVI,Czasowniki,Kalkulator,Underestimate,Nie doszacować,,
4464,3,Tom IV,Rozdział XXXVI,Slang,Slang 18,All talk,Mocny w gębie,,
4465,3,Tom IV,Rozdział XXXVI,Slang,Slang 18,Easy mark,Łatwy cel,,
4466,3,Tom IV,Rozdział XXXVI,Slang,Slang 18,Faker,Ściemniacz,,
4467,3,Tom IV,Rozdział XXXVI,Slang,Slang 18,Imposter,Podszywacz,,
4468,3,Tom IV,Rozdział XXXVI,Slang,Slang 18,Sheeple,Ludzie owce (podążają za tłumem),,
4469,3,Tom IV,Rozdział XXXVI,Slang,Slang 18,Slacker,Cholernie leniwy,,
4470,3,Tom IV,Rozdział XXXVI,Slang,Slang 18,Thirsty,Pragnący akceptacji,,
4471,3,Tom IV,Rozdział XXXVI,Slang,Slang 18,Wise guy,Mądrala; cwaniaczek,,
4472,3,Tom IV,Rozdział XXXVI,Slang,Slang 18,Simp,Pantoflarz,,
4473,3,Tom IV,Rozdział XXXVI,Slang,Slang 18,Rat,Kapuś,,
4474,3,Tom IV,Rozdział XXXVI,Spójniki,Spójniki 3,Apart from,Oprócz (czegoś),,
4475,3,Tom IV,Rozdział XXXVI,Spójniki,Spójniki 3,Except for,"Oprócz tego, że",,
4476,3,Tom IV,Rozdział XXXVI,Spójniki,Spójniki 3,On the one hand,Z jednej strony,,
4477,3,Tom IV,Rozdział XXXVI,Spójniki,Spójniki 3,Whereas,Podczas gdy (ale),,
4478,3,Tom IV,Rozdział XXXVI,Spójniki,Spójniki 3,Despite,Pomimo czegoś,,
4479,3,Tom IV,Rozdział XXXVI,Spójniki,Spójniki 3,Either,Albo,,
4480,3,Tom IV,Rozdział XXXVI,Spójniki,Spójniki 3,Even so,Nawet jeśli (np. To prawda),,
4481,3,Tom IV,Rozdział XXXVI,Spójniki,Spójniki 3,Even though,"Nawet mimo tego, że",,
4482,3,Tom IV,Rozdział XXXVI,Spójniki,Spójniki 3,Excluding,Wyłączając,,
4483,3,Tom IV,Rozdział XXXVI,Spójniki,Spójniki 3,In reality,W rzeczywistości,,
4484,3,Tom IV,Rozdział XXXVI,Phrasale,Podryw,Ask out,Zaprosić kogoś (na randkę),,
4485,3,Tom IV,Rozdział XXXVI,Phrasale,Podryw,Ask sb in,Zaprosić kogoś do środka,,
4486,3,Tom IV,Rozdział XXXVI,Phrasale,Podryw,Be crazy about,"Zwariować na punkcie (kogoś, czegoś)",,
4487,3,Tom IV,Rozdział XXXVI,Phrasale,Podryw,Get together,Spotkać się razem,,
4488,3,Tom IV,Rozdział XXXVI,Phrasale,Podryw,Go out,Spotykać się (randkować),,
4489,3,Tom IV,Rozdział XXXVI,Phrasale,Podryw,Pick sb up,Podrywać kogoś,,
4490,3,Tom IV,Rozdział XXXVI,Phrasale,Podryw,Show off,Popisywać się,,
4491,3,Tom IV,Rozdział XXXVI,Phrasale,Podryw,Make out,Obściskiwać się namiętnie,,
4492,3,Tom IV,Rozdział XXXVI,Phrasale,Podryw,Fall in love,Zakochać się,,
4493,3,Tom IV,Rozdział XXXVI,Phrasale,Podryw,Turn on,Podniecać; kręcić kogoś,,
4494,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Galaxy,Galaktyka,,
4495,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Gravity,Grawitacja,,
4496,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Cosmos,Kosmos,,
4497,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Planet,Planeta,,
4498,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Outer space,Przestrzeń kosmiczna,,
4499,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Universe,Wszechświat,,
4500,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Rocket,Rakieta,,
4501,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Astronomy,Astronomia,,
4502,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Alien,Obcy,,
4503,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Telescope,Teleskop,,
4504,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Comet,Kometa,,
4505,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Milky way,Droga mleczna,,
4506,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Meteorite,Meteoryt,,
4507,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Orbit,Orbita,,
4508,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kosmos,Satellite,Satelita,,
4509,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Kettle,Czajnik,,
4510,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Tap,Kran,,
4511,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Teaspoon,Łyżeczka do herbaty,,
4512,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Cutlery,Sztućce,,
4513,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Cloth,Ścierka,,
4514,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Fork,Widelec,,
4515,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Opener,Otwieracz,,
4516,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Sink,Zlew,,
4517,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Napkin,Serwetka,,
4518,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Corkscrew,Korkociąg,,
4519,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Saucepan,Rondel,,
4520,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Aluminum foil,Folia aluminiowa,,
4521,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Tray,Kosz na śmieci,,
4522,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Pepper shaker,Pieprzniczka,,
4523,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Kuchnia,Salt shaker,Solniczka,,
4524,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Diary,Dziennik; pamiętnik,,
4525,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Extract,Fragment,,
4526,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Punctuation,Interpunkcja,,
4527,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Proofreading,Korekta,,
4528,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Period,Kropka (na końcu zdania),,
4529,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Numeral,Liczebnik,,
4530,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Theme,Motyw przewodni,,
4531,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Handwriting,Pismo odręczne; charakter pisma,,
4532,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Spelling,Pisownia,,
4533,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Summary,Podsumowanie,,
4534,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Comma,Przecinek,,
4535,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Preposition,Przyimek,,
4536,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Proverb,Przysłowie,,
4537,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Abbreviation,"Skrót (np. Słowa, nazwy)",,
4538,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Książki I pisownia,Slang,Slang,,
4539,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Juicy,Soczysty,,
4540,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Bittersweet,Słodko-gorzki,,
4541,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Dry,Wytrawne (o winie),,
4542,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Sparkling,Gazowany (woda),,
4543,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Boiling,Wrzący,,
4544,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Delicate,Delikatny (np. Potrawa),,
4545,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Rare,Niewysmażony (krwisty),,
4546,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Delicious,Pyszny,,
4547,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Tasteless,Bez smaku,,
4548,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Chopped,Siekany,,
4549,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Bland,Mdły; pozbawiony smaku,,
4550,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Milky,Mleczny,,
4551,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Drinkable,Pitny; nadający się do picia,,
4552,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Burned,Przypalony,,
4553,3,Tom IV,Rozdział XXXVI,Przymiotniki,Jedzenie,Fried,Smażony,,
4554,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Swamp,Bagno,,
4555,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Shore,Brzeg morza,,
4556,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Longitude,Długość geograficzna,,
4557,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Global warming,Globalne ocieplenie,,
4558,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Iceberg,Góra lodowa,,
4559,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Cave,Jaskinia,,
4560,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Canyon,Kanion,,
4561,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Landscape,Krajobraz,,
4562,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Rainforest,Las deszczowy,,
4563,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Avalanche,Lawina,,
4564,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Coastline,Linia brzegowa,,
4565,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Meadow,Łąka,,
4566,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Site,Teren (np. Wykopalisk),,
4567,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Oasis,Oaza,,
4568,3,Tom IV,Rozdział XXXVI,Rzeczowniki,Geografia,Stream,Strumień,,
4569,3,Tom IV,Rozdział XXXVII,Phrasale,Co poszło nie tak?,Break down,Popsuć się; zepsuć się,,
4570,3,Tom IV,Rozdział XXXVII,Phrasale,Co poszło nie tak?,Give up,"Poddać się, zrezygnować",,
4571,3,Tom IV,Rozdział XXXVII,Phrasale,Co poszło nie tak?,Fall down,Upaść; spaść,,
4572,3,Tom IV,Rozdział XXXVII,Phrasale,Co poszło nie tak?,End up,Skończyć; wylądować gdzieś,,
4573,3,Tom IV,Rozdział XXXVII,Phrasale,Co poszło nie tak?,Fall over,Przewracać się,,
4574,3,Tom IV,Rozdział XXXVII,Phrasale,Co poszło nie tak?,Be off,Zepsuć się (np. Jedzenie),,
4575,3,Tom IV,Rozdział XXXVII,Phrasale,Co poszło nie tak?,Call off,Odwoływać,,
4576,3,Tom IV,Rozdział XXXVII,Phrasale,Co poszło nie tak?,Run out of sth,Wyczerpywać; kończyć się,,
4577,3,Tom IV,Rozdział XXXVII,Phrasale,Co poszło nie tak?,Fade out,Zanikać,,
4578,3,Tom IV,Rozdział XXXVII,Phrasale,Co poszło nie tak?,Dry up,Wysychać,,
4579,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Frequency,Częstotliwość,,
4580,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Inch,Cal,,
4581,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Length,Długość,,
4582,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Density,Gęstość; zagęszczenie,,
4583,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Depth,Głębokość,,
4584,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Thickness,Grubość,,
4585,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Square meter,Metr kwadratowy,,
4586,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Cubic meter,Metr sześcienny,,
4587,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Mile,Mila,,
4588,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Volume,Objętość,,
4589,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Distance,Odległość,,
4590,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Surface,Powierzchnia (czegoś),,
4591,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Tier,Poziom; warstwa,,
4592,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Width,Szerokość,,
4593,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Gdy musisz coś zmierzyć,Measure,Miara,,
4594,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Unikać,Affair,Afera,,
4595,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Unikać,Arrogance,Arogancja,,
4596,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Unikać,Desperation,Desperacja,,
4597,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Unikać,Egoism,Egoizm,,
4598,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Unikać,Frustration,Frustracja,,
4599,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Unikać,Fury,Furia,,
4600,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Unikać,Irritation,Irytacja,,
4601,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Unikać,Pity,Szkoda; żal (litość),,
4602,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Unikać,Impatience,Niecierpliwość,,
4603,3,Tom IV,Rozdział XXXVII,Rzeczowniki,Unikać,Dishonesty,Nieuczciwość,,
